Vendedor;Produto;Código;Qtde;Preço Médio;Valor;Frete;Desconto;Outras despesas;Total Venda;Custo;Lucro
Vinicius  ;Camisa Dri-fit;;1;44,00;44;0;1,69;0;42,31;17;25,31
Vinicius  ;Camisa EXGG;;9;77,00;693;0;50,99;0;642,01;288;354,01
Vinicius  ;Camisa Peruana;;36;88,00;3168;0;193,99;0;2974,01;1332;1.642,01
Vinicius  ;Camisa Polo;;39;77,00;3003;0;196,57;0;2806,43;1365;1.441,43
Vinicius  ;Camisa Premium;;116;55,00;6380;0;477,73;0;5902,27;2900;3.002,27
Vinicius  ;Camisa Stret;;107;60,00;6420;0;428,1;0;5991,9;2675;3.316,90
Vinicius  ;Camisa Surf;;26;38,00;988;0;88,27;0;899,73;416;483,73
Vinicius  ;Carteira Grif;;3;44,00;132;0;0,62;0;131,38;51;80,38
Vinicius  ;Carteira Simples;;4;33,00;132;0;5,94;0;126,06;60;66,06
Vinicius  ;cinto;;5;22,00;110;0;13,86;0;96,14;50;46,14
Vinicius  ;cinto grife;;6;33,00;198;0;13,21;0;184,79;90;94,79
Vinicius  ;Copo Stanley;;3;44,00;132;0;12,69;0;119,31;108;11,31
Vinicius  ;Corrente  De Prata 3,5 MM;;3;176,00;528;0;31,68;0;496,32;240;256,32
Vinicius  ;corrente 80;;1;220,00;220;0;29,11;0;190,89;0;-
